# u	# v	gender
1	2	M
1	2	M
2	2	M
2	2	M
2	2	M
2	16	M
2	22	M
3	2	M
3	4	M
5	6	M
5	8	M
5	31	M
7	2	M
9	2	M
9	2	M
10	2	M
11	12	M
14	2	M
15	2	M
17	2	M
18	2	M
19	2	M
20	21	M
23	24	M
23	32	M
25	26	M
27	28	M
30	23	M
