# u	# v	gender
1	2	male
1	2	male
1	48	male
2	2	male
2	2	male
2	53	male
7	2	male
33	2	male
34	2	male
34	2	male
36	2	male
37	2	male
38	2	male
39	2	female
40	2	male
41	2	male
43	2	male
44	45	female
46	47	male
49	2	male
50	1	male
51	2	male
52	2	male
54	2	male
