# u	# v	gender
1	2	male
1	2	male
1	2	male
1	2	male
1	2	male
1	70	female
2	2	male
23	67	male
37	2	male
43	64	male
55	2	male
56	2	male
57	58	male
59	60	male
63	45	male
65	7	female
66	2	male
68	2	male
69	2	male
71	2	male
72	73	male
76	2	male
